l1,aaa,lor,enroll,speaking,sex,family
Russian,23,6,84,543,Female,Indo-European
Serbian,41,3,85,534,Female,Indo-European
Albanian,17,2,78,498,Female,Indo-European
Polish,22,2,100,507,Female,Indo-European
Arabic,25,1,49,497,Female,Afro-Asiatic
Persian,24,1,77,578,Female,Indo-European
Russian,24,2,90,521,Female,Indo-European
Russian,26,3,90,533,Female,Indo-European
Czech,21,2,90,589,Female,Indo-European
Latvian,34,3,99,540,Female,Indo-European
Romanian,28,1,86,538,Female,Indo-European
German,12,12,101,542,Female,Indo-European
German,22,1,101,634,Female,Indo-European
Russian,23,1,90,512,Female,Indo-European
German,31,1,101,554,Female,Indo-European
Spanish,30,4,86,512,Female,Indo-European
Indonesian,25,5,64,505,Female,Austronesian
German,20,1,101,563,Female,Indo-European
Bulgarian,55,1,90,535,Female,Indo-European
German,32,2,101,585,Female,Indo-European
German,30,0,101,540,Female,Indo-European
French,26,1,113,626,Female,Indo-European
Hungarian,24,8,94,530,Female,Uralic
English,27,2,111,560,Female,Indo-European
English,31,6,94,541,Female,Indo-European
Russian,30,6,84,492,Female,Indo-European
Russian,49,2,90,525,Female,Indo-European
Russian,28,2,90,487,Female,Indo-European
Spanish,24,1,85,522,Female,Indo-European
Turkish,23,17,79,438,Female,Altaic
Russian,20,2,90,517,Female,Indo-European
Russian,31,4,90,513,Female,Indo-European
Chinese,34,7,67,459,Female,Sino-Tibetan
English,28,2,148,571,Female,Indo-European
German,36,3,94,584,Female,Indo-European
Russian,20,4,90,511,Female,Indo-European
Portugese,31,5,97,490,Female,Indo-European
Russian,19,7,90,564,Female,Indo-European
Turkish,22,1,79,499,Female,Altaic
Serbian,22,2,85,554,Female,Indo-European
Russian,29,2,84,500,Female,Indo-European
Russian,24,1,90,512,Female,Indo-European
Greek,33,7,102,553,Female,Indo-European
Polish,25,2,100,555,Female,Indo-European
German,37,0,101,550,Female,Indo-European
Russian,23,2,90,503,Female,Indo-European
English,35,8,111,584,Female,Indo-European
Turkish,21,1,101,536,Female,Altaic
Russian,26,6,90,470,Female,Indo-European
German,22,1,101,523,Female,Indo-European
Arabic,19,3,49,549,Female,Afro-Asiatic
Arabic,31,4,31,467,Female,Afro-Asiatic
French,26,1,113,515,Female,Indo-European
German,19,0,101,543,Female,Indo-European
Turkish,18,3,79,449,Female,Altaic
Russian,43,1,90,490,Female,Indo-European
Russian,32,3,90,499,Female,Indo-European
Russian,21,1,90,539,Female,Indo-European
Polish,28,2,100,559,Female,Indo-European
Tagalog,25,2,83,497,Female,Austronesian
Persian,25,8,77,519,Female,Indo-European
Spanish,19,1,82,530,Female,Indo-European
Tagalog,24,2,83,496,Female,Austronesian
Chinese,35,14,67,545,Female,Sino-Tibetan
Polish,43,9,100,500,Female,Indo-European
German,20,1,101,527,Female,Indo-European
Persian,25,0,77,472,Female,Indo-European
Polish,27,2,100,506,Female,Indo-European
Russian,26,1,84,531,Female,Indo-European
Arabic,32,2,67,491,Female,Afro-Asiatic
Croatian,26,1,85,548,Female,Indo-European
Norwegian,21,0,118,572,Female,Indo-European
Polish,27,11,86,586,Female,Indo-European
Arabic,27,3,79,511,Female,Afro-Asiatic
Arabic,18,1,49,619,Female,Afro-Asiatic
Polish,34,3,100,527,Female,Indo-European
Spanish,35,4,85,467,Female,Indo-European
German,14,9,101,533,Female,Indo-European
English,30,2,105,522,Female,Indo-European
Spanish,28,3,68,501,Female,Indo-European
Russian,28,1,90,525,Female,Indo-European
Spanish,30,2,118,494,Female,Indo-European
Turkish,20,3,79,515,Female,Altaic
Polish,26,3,100,515,Female,Indo-European
Swedish,24,4,103,527,Female,Indo-European
Russian,26,7,90,591,Female,Indo-European
Bulgarian,24,1,90,553,Female,Indo-European
Polish,25,4,100,510,Female,Indo-European
Chinese,35,9,67,476,Female,Sino-Tibetan
Tagalog,28,8,83,515,Female,Austronesian
Ukranian,24,2,92,498,Female,Indo-European
Persian,24,6,19,531,Female,Indo-European
Turkish,21,11,79,479,Female,Altaic
Russian,34,6,90,541,Female,Indo-European
Russian,19,0,84,568,Female,Indo-European
Persian,29,5,19,504,Female,Indo-European
Armenian,45,3,90,485,Female,Indo-European
Spanish,27,3,85,502,Female,Indo-European
Russian,21,5,90,597,Female,Indo-European
English,36,2,94,553,Female,Indo-European
Russian,38,3,90,503,Female,Indo-European
French,21,2,113,507,Female,Indo-European
Russian,38,1,90,529,Female,Indo-European
Russian,17,4,90,504,Female,Indo-European
Swedish,28,6,111,606,Female,Indo-European
Russian,24,2,101,504,Female,Indo-European
Serbian,34,6,85,537,Female,Indo-European
Russian,46,2,84,497,Female,Indo-European
Russian,45,2,84,504,Female,Indo-European
Urdu,36,11,29,513,Female,Indo-European
Romanian,31,1,86,629,Female,Indo-European
Russian,12,5,84,525,Female,Indo-European
Turkish,20,4,109,505,Female,Altaic
German,28,3,101,507,Female,Indo-European
German,9,12,101,495,Female,Indo-European
Spanish,23,3,118,473,Female,Indo-European
Bulgarian,19,1,90,544,Female,Indo-European
Spanish,25,1,85,499,Female,Indo-European
Czech,25,3,90,546,Female,Indo-European
Russian,29,3,84,500,Female,Indo-European
Russian,34,5,90,495,Female,Indo-European
Russian,33,11,90,547,Female,Indo-European
Spanish,25,3,85,433,Female,Indo-European
Portugese,30,8,106,509,Female,Indo-European
Chinese,24,1,67,497,Female,Sino-Tibetan
Polish,28,5,100,529,Female,Indo-European
Indonesian,21,2,64,506,Female,Austronesian
Portugese,25,2,106,521,Female,Indo-European
Malay,31,3,100,497,Female,Austronesian
Russian,23,1,90,512,Female,Indo-European
English,26,1,82,511,Female,Indo-European
German,21,2,101,548,Female,Indo-European
Tamazight,12,25,49,554,Female,Afro-Asiatic
German,22,3,101,551,Female,Indo-European
Russian,28,4,90,488,Female,Indo-European
English,19,1,101,527,Female,Indo-European
Arabic,28,3,31,520,Female,Afro-Asiatic
Serbian,24,3,85,512,Female,Indo-European
Spanish,23,1,65,548,Female,Indo-European
French,38,1,109,499,Female,Indo-European
Spanish,28,2,86,545,Female,Indo-European
German,19,1,101,551,Female,Indo-European
Polish,24,14,100,565,Female,Indo-European
Serbian,29,3,85,512,Female,Indo-European
Czech,23,6,90,510,Female,Indo-European
Romanian,44,2,86,526,Female,Indo-European
German,31,5,94,579,Female,Indo-European
Spanish,25,2,51,462,Female,Indo-European
Portugese,26,3,106,449,Female,Indo-European
Russian,37,8,84,482,Female,Indo-European
Russian,24,4,90,467,Female,Indo-European
Russian,47,2,84,490,Female,Indo-European
Russian,47,2,84,517,Female,Indo-European
Chinese,19,2,67,524,Female,Sino-Tibetan
Finnish,31,6,111,561,Female,Uralic
German,27,9,113,518,Female,Indo-European
Arabic,20,19,49,528,Female,Afro-Asiatic
German,20,1,101,539,Female,Indo-European
Portugese,29,2,17,531,Female,Indo-European
German,22,0,101,558,Female,Indo-European
German,32,1,101,609,Female,Indo-European
Indonesian,21,1,64,506,Female,Austronesian
Hungarian,21,14,96,550,Female,Uralic
Serbian,24,4,85,551,Female,Indo-European
Russian,26,2,90,529,Female,Indo-European
Tamazight,25,9,49,508,Female,Afro-Asiatic
English,46,1,94,471,Female,Indo-European
Vietnamese,21,3,67,482,Female,Austro-Asiatic
Russian,28,2,90,517,Female,Indo-European
Russian,45,3,96,504,Female,Indo-European
English,35,3,111,531,Female,Indo-European
Polish,30,10,100,547,Female,Indo-European
Japanese,34,7,101,497,Female,Japanese
German,21,0,101,487,Female,Indo-European
Indonesian,28,2,64,520,Female,Austronesian
Russian,33,1,90,486,Female,Indo-European
German,26,0,101,535,Female,Indo-European
Indonesian,25,1,64,498,Female,Austronesian
French,25,1,113,546,Female,Indo-European
Arabic,23,1,49,470,Female,Afro-Asiatic
Russian,34,2,90,502,Female,Indo-European
Russian,26,3,90,492,Female,Indo-European
Portugese,27,21,68,548,Female,Indo-European
Bulgarian,38,2,90,528,Female,Indo-European
Polish,48,4,100,527,Female,Indo-European
Romanian,29,6,86,520,Female,Indo-European
English,31,15,105,510,Female,Indo-European
Russian,36,2,84,491,Female,Indo-European
Turkish,17,2,79,476,Female,Altaic
Serbian,38,3,85,438,Female,Indo-European
Polish,20,3,100,505,Female,Indo-European
Polish,35,14,100,514,Female,Indo-European
Azerbaijani,29,2,77,458,Female,Altaic
Hebrew,34,2,93,525,Female,Afro-Asiatic
Arabic,27,1,118,498,Female,Afro-Asiatic
Mongolian,23,4,92,517,Female,Altaic
Arabic,26,2,49,476,Female,Afro-Asiatic
Arabic,28,2,49,487,Female,Afro-Asiatic
Russian,32,2,90,509,Female,Indo-European
Persian,25,3,77,485,Female,Indo-European
Russian,29,1,96,534,Female,Indo-European
Romanian,24,1,86,540,Female,Indo-European
Chinese,38,2,69,532,Female,Sino-Tibetan
Turkish,24,3,79,446,Female,Altaic
Indonesian,19,3,64,514,Female,Austronesian
Romanian,33,4,86,529,Female,Indo-European
Albanian,23,2,85,495,Female,Indo-European
Spanish,23,3,101,496,Female,Indo-European
Serbian,38,3,85,443,Female,Indo-European
English,21,20,105,683,Female,Indo-European
Russian,34,2,90,500,Female,Indo-European
German,18,2,101,601,Female,Indo-European
Persian,18,3,77,512,Female,Indo-European
Russian,27,1,84,521,Female,Indo-European
German,24,2,101,536,Female,Indo-European
Arabic,29,3,49,502,Female,Afro-Asiatic
Slovak,27,2,90,525,Female,Indo-European
Polish,22,2,100,593,Female,Indo-European
Portugese,34,4,106,506,Female,Indo-European
Russian,24,3,90,514,Female,Indo-European
Russian,23,2,90,519,Female,Indo-European
Turkish,18,1,118,510,Female,Altaic
Russian,27,1,90,491,Female,Indo-European
Japanese,26,1,101,469,Female,Japanese
German,18,10,101,551,Female,Indo-European
Slovak,24,3,90,522,Female,Indo-European
Kinyarwanda,25,8,16,523,Female,Niger-Congo
Russian,18,1,84,498,Female,Indo-European
Russian,20,3,90,516,Female,Indo-European
German,39,0,118,435,Female,Indo-European
Turkish,26,17,79,482,Female,Altaic
Russian,28,2,90,504,Female,Indo-European
English,29,3,105,592,Female,Indo-European
Polish,19,8,100,508,Female,Indo-European
German,37,1,101,557,Female,Indo-European
Russian,38,2,90,488,Female,Indo-European
Russian,28,3,96,497,Female,Indo-European
Polish,44,2,94,464,Female,Indo-European
Russian,17,4,84,525,Female,Indo-European
Russian,19,11,92,511,Female,Indo-European
Russian,35,2,90,486,Female,Indo-European
Indonesian,32,2,64,479,Female,Austronesian
Arabic,42,3,31,487,Female,Afro-Asiatic
Chinese,27,3,67,493,Female,Sino-Tibetan
German,17,3,101,525,Female,Indo-European
Russian,21,0,90,495,Female,Indo-European
Indonesian,26,10,64,544,Female,Austronesian
Russian,40,4,84,514,Female,Indo-European
Spanish,39,1,85,528,Female,Indo-European
Russian,22,2,84,567,Female,Indo-European
Turkish,18,1,79,461,Female,Altaic
Russian,18,2,84,516,Female,Indo-European
Russian,24,1,90,526,Female,Indo-European
Russian,22,1,90,573,Female,Indo-European
Portugese,39,5,106,507,Female,Indo-European
Russian,28,5,100,527,Female,Indo-European
Polish,20,2,100,498,Female,Indo-European
Italian,28,17,99,534,Female,Indo-European
Persian,22,2,31,523,Female,Indo-European
Swedish,42,3,103,506,Female,Indo-European
German,21,7,101,555,Female,Indo-European
Finnish,41,6,111,574,Female,Uralic
English,20,20,105,500,Female,Indo-European
Arabic,32,4,47,517,Female,Afro-Asiatic
Serbian,29,3,85,527,Female,Indo-European
French,29,2,113,488,Female,Indo-European
Arabic,25,3,49,555,Female,Afro-Asiatic
German,12,8,101,559,Female,Indo-European
Romanian,20,1,86,465,Female,Indo-European
Spanish,30,20,118,506,Female,Indo-European
Russian,33,3,90,514,Female,Indo-European
Malayalam,32,2,54,537,Female,Dravidian
French,28,2,113,554,Female,Indo-European
Russian,38,2,90,503,Female,Indo-European
Arabic,23,5,49,525,Female,Afro-Asiatic
Polish,24,4,100,539,Female,Indo-European
Turkish,18,1,79,470,Female,Altaic
Serbian,38,4,85,534,Female,Indo-European
German,22,1,101,536,Female,Indo-European
Arabic,41,7,49,392,Female,Afro-Asiatic
German,25,2,101,540,Female,Indo-European
Russian,28,2,84,526,Female,Indo-European
English,43,2,94,475,Female,Indo-European
Russian,23,3,84,511,Female,Indo-European
German,21,1,101,465,Female,Indo-European
English,28,3,29,532,Female,Indo-European
Polish,23,6,100,538,Female,Indo-European
Serbian,28,5,85,502,Female,Indo-European
Arabic,28,2,47,472,Female,Afro-Asiatic
Russian,29,8,90,503,Female,Indo-European
Ukranian,26,6,90,532,Female,Indo-European
Persian,30,3,77,568,Female,Indo-European
Swedish,29,2,103,665,Female,Indo-European
Azerbaijani,36,3,90,505,Female,Altaic
Albanian,33,11,85,526,Female,Indo-European
Russian,24,1,84,558,Female,Indo-European
Swedish,24,2,103,538,Female,Indo-European
Indonesian,31,13,64,498,Female,Austronesian
English,20,6,105,518,Female,Indo-European
Romanian,22,2,86,517,Female,Indo-European
Russian,27,2,90,530,Female,Indo-European
Polish,26,2,100,513,Female,Indo-European
Japanese,36,3,101,484,Female,Japanese
Arabic,31,8,31,493,Female,Afro-Asiatic
Russian,27,2,90,510,Female,Indo-European
Serbian,44,8,91,486,Female,Indo-European
Finnish,20,1,111,593,Female,Uralic
Polish,19,3,100,514,Female,Indo-European
Indonesian,24,2,64,438,Female,Austronesian
French,23,1,113,560,Female,Indo-European
Norwegian,31,3,100,509,Female,Indo-European
Russian,24,4,90,563,Female,Indo-European
Persian,20,2,77,500,Female,Indo-European
Russian,24,1,90,448,Female,Indo-European
Polish,25,3,100,528,Female,Indo-European
Russian,42,8,84,527,Female,Indo-European
Indonesian,33,0,64,534,Female,Austronesian
Russian,21,1,90,511,Female,Indo-European
Arabic,24,8,31,478,Female,Afro-Asiatic
Greek,24,6,102,531,Female,Indo-European
Ukranian,33,1,92,514,Female,Indo-European
Russian,29,6,90,535,Female,Indo-European
English,27,2,94,474,Female,Indo-European
Russian,10,10,84,582,Female,Indo-European
Russian,17,9,92,526,Female,Indo-European
French,24,1,113,533,Female,Indo-European
Polish,32,2,100,505,Female,Indo-European
Polish,33,3,100,505,Female,Indo-European
Russian,25,3,90,492,Female,Indo-European
Polish,36,1,100,502,Female,Indo-European
Russian,23,4,92,555,Female,Indo-European
Bengali,28,14,54,495,Female,Indo-European
Russian,22,5,90,488,Female,Indo-European
Pashto,23,2,19,530,Female,Indo-European
Russian,32,3,84,553,Female,Indo-European
Polish,25,2,100,500,Female,Indo-European
Kurdish,26,5,47,494,Female,Indo-European
Turkish,17,17,79,440,Female,Altaic
Russian,24,2,90,508,Female,Indo-European
Russian,21,2,92,530,Female,Indo-European
Polish,23,7,100,535,Female,Indo-European
Russian,37,2,84,551,Female,Indo-European
Greek,21,3,102,556,Female,Indo-European
Polish,34,13,100,552,Female,Indo-European
Arabic,21,3,47,524,Female,Afro-Asiatic
English,21,24,105,514,Female,Indo-European
Persian,25,4,19,452,Female,Indo-European
English,33,21,100,608,Female,Indo-European
Spanish,33,3,82,548,Female,Indo-European
English,23,19,105,541,Female,Indo-European
Persian,22,3,77,523,Female,Indo-European
Russian,22,1,92,528,Female,Indo-European
Polish,27,0,100,489,Female,Indo-European
Serbian,22,4,85,586,Female,Indo-European
Indonesian,27,6,64,503,Female,Austronesian
Arabic,27,1,49,497,Female,Afro-Asiatic
English,21,2,93,551,Female,Indo-European
Catalan,21,7,118,526,Female,Indo-European
English,28,2,101,548,Female,Indo-European
English,22,1,120,553,Female,Indo-European
Greek,26,3,102,500,Female,Indo-European
Spanish,31,8,65,557,Female,Indo-European
Persian,20,6,77,416,Female,Indo-European
Polish,25,1,100,527,Female,Indo-European
Persian,35,2,77,518,Female,Indo-European
Ukranian,33,3,90,521,Female,Indo-European
Russian,24,2,90,523,Female,Indo-European
Polish,21,2,100,539,Female,Indo-European
Hebrew,28,1,93,566,Female,Afro-Asiatic
Turkish,21,13,79,412,Female,Altaic
Arabic,26,2,49,507,Female,Afro-Asiatic
Arabic,21,1,49,435,Female,Afro-Asiatic
Hungarian,29,4,96,542,Female,Uralic
Russian,47,3,90,477,Female,Indo-European
Persian,38,3,77,506,Female,Indo-European
Spanish,19,1,82,462,Female,Indo-European
Portugese,30,4,97,547,Female,Indo-European
Russian,22,2,90,472,Female,Indo-European
Polish,28,3,100,504,Female,Indo-European
Russian,30,1,92,533,Female,Indo-European
Russian,16,7,92,530,Female,Indo-European
Romanian,22,8,86,593,Female,Indo-European
Indonesian,29,2,64,495,Female,Austronesian
Spanish,18,1,83,552,Female,Indo-European
Spanish,22,2,74,502,Female,Indo-European
Arabic,15,21,49,550,Female,Afro-Asiatic
Polish,27,2,100,433,Female,Indo-European
Russian,36,14,81,515,Female,Indo-European
Serbian,40,2,85,505,Female,Indo-European
English,28,4,105,545,Female,Indo-European
Norwegian,18,5,113,568,Female,Indo-European
Indonesian,23,7,64,490,Female,Austronesian
English,29,0,94,576,Female,Indo-European
Russian,34,11,84,587,Female,Indo-European
German,17,3,101,586,Female,Indo-European
French,26,2,27,463,Female,Indo-European
Spanish,32,3,118,518,Female,Indo-European
Chinese,16,19,67,490,Female,Sino-Tibetan
French,23,1,27,476,Female,Indo-European
Bulgarian,25,3,90,561,Female,Indo-European
Russian,23,2,90,492,Female,Indo-European
Russian,25,2,90,455,Female,Indo-European
Russian,24,2,90,546,Female,Indo-European
Russian,34,3,90,541,Female,Indo-European
Romanian,38,6,86,538,Female,Indo-European
Arabic,29,2,31,503,Female,Afro-Asiatic
Lithuanian,20,2,90,541,Female,Indo-European
Polish,24,10,100,570,Female,Indo-European
Russian,23,1,90,515,Female,Indo-European
Kurdish,30,2,47,463,Female,Indo-European
German,26,1,101,562,Female,Indo-European
Russian,41,2,90,508,Female,Indo-European
Arabic,24,1,49,540,Female,Afro-Asiatic
Russian,24,3,90,505,Female,Indo-European
Polish,25,3,100,545,Female,Indo-European
Arabic,24,2,47,483,Female,Afro-Asiatic
Slovak,23,3,90,579,Female,Indo-European
Russian,23,2,90,505,Female,Indo-European
Russian,35,1,92,501,Female,Indo-European
Polish,40,6,100,495,Female,Indo-European
English,29,2,148,520,Female,Indo-European
German,20,0,100,575,Female,Indo-European
Russian,26,2,90,554,Female,Indo-European
Arabic,23,9,49,509,Female,Afro-Asiatic
Chinese,27,1,67,458,Female,Sino-Tibetan
Russian,19,2,90,538,Female,Indo-European
Russian,31,2,90,506,Female,Indo-European
Russian,29,1,84,493,Female,Indo-European
Czech,25,4,90,510,Female,Indo-European
Arabic,22,2,49,491,Female,Afro-Asiatic
Russian,20,6,90,566,Female,Indo-European
Hungarian,44,3,85,488,Female,Uralic
Russian,27,2,90,559,Female,Indo-European
English,30,5,93,550,Female,Indo-European
Turkish,38,2,79,499,Female,Altaic
Serbian,36,5,85,490,Female,Indo-European
Russian,24,2,84,536,Female,Indo-European
Indonesian,25,1,64,479,Female,Austronesian
Russian,32,3,90,513,Female,Indo-European
Kurdish,22,3,47,479,Female,Indo-European
German,26,12,101,618,Female,Indo-European
Russian,30,1,92,517,Female,Indo-European
Russian,29,6,90,493,Female,Indo-European
English,40,1,94,611,Female,Indo-European
Hungarian,18,2,96,627,Female,Uralic
Spanish,34,5,101,506,Female,Indo-European
Arabic,21,2,49,495,Female,Afro-Asiatic
Russian,32,4,90,526,Female,Indo-European
Polish,26,1,100,523,Female,Indo-European
Portugese,26,2,106,566,Female,Indo-European
Afrikaans,37,1,93,492,Female,Indo-European
Polish,23,4,100,551,Female,Indo-European
French,28,2,113,523,Female,Indo-European
English,22,1,101,544,Female,Indo-European
Kinyarwanda,28,7,16,536,Female,Niger-Congo
Russian,25,2,90,501,Female,Indo-European
Romanian,35,2,86,529,Female,Indo-European
French,20,20,113,679,Female,Indo-European
Kurdish,29,3,47,494,Female,Indo-European
Spanish,27,2,118,514,Female,Indo-European
Armenian,32,5,90,476,Female,Indo-European
German,14,9,101,496,Female,Indo-European
Slovak,20,1,90,610,Female,Indo-European
Russian,30,2,95,511,Female,Indo-European
Croatian,31,2,85,507,Female,Indo-European
Russian,19,7,100,521,Female,Indo-European
Polish,27,2,100,491,Female,Indo-European
Portugese,24,15,68,545,Female,Indo-European
Russian,40,2,84,522,Female,Indo-European
Turkish,26,1,101,564,Female,Altaic
Mongolian,29,2,92,490,Female,Altaic
Russian,21,5,90,522,Female,Indo-European
